PB5815251,,CS58105_2.START_PB,ForceCP58InOn[1].14,5/18/2021 6:28:15 AM - OK,SLAVE5814004:I.DATA[9].4
PB5815255,,CS58110_2.RESTART_PB,ForceCP58InOn[1].17,5/18/2021 11:28:11 AM - OK,SLAVE5814004:I.DATA[9].7
PB5815259,,CS58205_1.START_PB,ForceCP58InOn[1].18,5/18/2021 6:30:14 AM - OK,SLAVE5814004:I.DATA[10].0
PB5815263,,CS58205_2.START_PB,ForceCP58InOn[1].20,5/18/2021 6:29:22 AM - OK,SLAVE5814004:I.DATA[10].2
PB5815267,,CS58210_2.RESTART_PB,ForceCP58InOn[1].23,5/18/2021 11:25:42 AM - OK,SLAVE5814004:I.DATA[10].5
PB5815271,not installed,CS58230.RESTART_PB,ForceCP58InOn[1].24,PROBLEM,SLAVE5814004:I.DATA[10].6
PB5815307,not installed,CS58245.RESTART_PB,ForceCP58InOn[1].25,PROBLEM,SLAVE5814004:I.DATA[10].7
PB5815311,,CS58305_1.START_PB,ForceCP58InOn[1].26,5/18/2021 6:31:00 AM - OK,SLAVE5814004:I.DATA[11].0
PB5815315,,CS58305_2.START_PB,ForceCP58InOn[1].28,5/18/2021 6:31:33 AM - OK,SLAVE5814004:I.DATA[11].2
PB5815319,,CS58310_2.RESTART_PB,ForceCP58InOn[1].31,5/18/2021 11:26:28 AM - OK,SLAVE5814004:I.DATA[11].5
PB5815323,,CS58405.RESTART_PB,ForceCP58InOn[2].0,5/18/2021 6:00:36 AM - OK,SLAVE5814004:I.DATA[11].6
PB5815327,,CS58415.RESTART_PB,ForceCP58InOn[2].1,5/18/2021 6:04:03 AM - OK,SLAVE5814004:I.DATA[11].7
PB5815331,,CS58425.RESTART_PB,ForceCP58InOn[2].2,5/18/2021 6:04:53 AM - OK,SLAVE5814004:I.DATA[12].0
PB5815335,,CS58455.RESTART_PB,ForceCP58InOn[2].3,5/18/2021 5:59:42 AM - OK,SLAVE5814004:I.DATA[12].1
PB5815347,,CS58465.RESTART_PB,ForceCP58InOn[2].4,5/18/2021 6:04:10 AM - OK,SLAVE5814004:I.DATA[12].2
PB5815351,,CS58475.RESTART_PB,ForceCP58InOn[2].5,5/18/2021 6:05:32 AM - OK,SLAVE5814004:I.DATA[12].3
PB5815355,not installed,CS58035.RESTART_PB,ForceCP58InOn[2].6,PROBLEM,SLAVE5814004:I.DATA[12].4
SPD5805735,,CP58.SURGE_PROTECTOR,ForceCP58InOn[0].10,5/18/2021 12:55:42 PM - OK,SLAVE5814004:I.DATA[5].0
VM5805730_1,,CP58.OVER_VOLTAGE_DETECTOR,ForceCP58InOn[0].11,5/18/2021 12:55:44 PM - OK,SLAVE5814004:I.DATA[5].1
VM5805730_2,,CP58.UNDER_VOLTAGE_DETECTOR,ForceCP58InOn[0].12,5/18/2021 12:55:46 PM - OK,SLAVE5814004:I.DATA[5].2
